BatchID,MedicineID,SupplierName,StockQuantity,WholesalePrice,RetailPrice,ManufactureDate,ExpiryDate
BAT00001,MED0315,Goldline Pharmaceuticals,481,436.76,510.9,2023-01-30,2024-08-27
BAT00002,MED5224,Octane Biotech Pvt Ltd,412,402.14,462.86,2023-12-12,2026-09-18
BAT00003,MED2362,Biocute Life Care,237,745.47,1002.58,2023-10-01,2025-07-16
BAT00004,MED3616,Blue Cross Laboratories Pvt Ltd,192,468.36,648.42,2023-10-16,2025-02-10
BAT00005,MED0809,Apex Medicals,175,279.49,361.29,2023-08-09,2025-05-23
BAT00006,MED5099,Eirene Pharmaceuticals,394,606.96,825.21,2023-01-21,2025-12-13
BAT00007,MED4981,MedLife Distributors,189,601.84,774.3,2023-01-22,2025-12-21
BAT00008,MED2934,Cubit Healthcare,143,483.27,593.51,2023-06-09,2025-06-13
BAT00009,MED4056,Apex Medicals,399,549.86,702.94,2023-06-02,2024-12-26
BAT00010,MED4264,Global Pharma Supply,278,176.22,228.72,2023-03-14,2024-10-31
BAT00011,MED2489,Reliance Formulation Pvt Ltd,109,421.65,518.7,2023-10-18,2026-04-05
BAT00012,MED0228,MedLife Distributors,421,737.64,945.35,2023-04-22,2024-12-23
BAT00013,MED0040,Macleods Pharmaceuticals Ltd,274,274.31,331.42,2023-06-02,2024-07-06
BAT00014,MED0293,Alkem Laboratories Ltd,375,670.73,850.42,2023-11-14,2025-12-31
BAT00015,MED2520,MedLife Distributors,441,465.6,544.59,2023-10-30,2026-04-04
BAT00016,MED0282,Global Pharma Supply,300,184.15,252.99,2023-02-08,2025-09-14
BAT00017,MED0190,Apex Medicals,314,250.9,323.99,2023-12-01,2025-02-28
BAT00018,MED4797,Global Pharma Supply,250,435.72,562.9,2023-11-28,2026-09-02
BAT00019,MED4805,Maneesh Pharmaceuticals Ltd,472,753.55,948.54,2023-01-13,2024-07-04
BAT00020,MED3850,Micro Labs Ltd,163,300.11,348.27,2023-02-19,2024-11-26
BAT00021,MED4195,Akumentis Healthcare Ltd,179,695.9,815.49,2023-06-16,2025-09-30
BAT00022,MED1450,MedLife Distributors,403,452.33,555.13,2023-12-14,2026-04-17
BAT00023,MED3877,Novartis India Ltd,212,179.57,208.98,2023-06-21,2025-08-12
BAT00024,MED4101,Macleods Pharmaceuticals Ltd,185,169.43,212.27,2023-08-17,2024-09-27
BAT00025,MED5203,Global Pharma Supply,442,470.33,601.19,2023-02-01,2025-07-19
BAT00026,MED1547,Global Pharma Supply,331,209.16,287.03,2023-02-10,2024-08-22
BAT00027,MED4745,MedLife Distributors,476,337.93,448.19,2023-04-23,2024-08-21
BAT00028,MED5316,Micro Labs Ltd,397,130.17,173.64,2023-09-19,2026-06-21
BAT00029,MED0296,Larion Life Sciences Pvt Ltd,472,577.06,737.36,2023-04-04,2025-04-13
