InvoiceID,CustomerID,TransactionDate,TotalAmount,PaymentMethod,CashierID
INV00001,CUST02109,2024-01-25 19:49:00,1191.56,Cash,CASH04
INV00002,CUST01733,2024-06-18 16:54:00,3947.24,Cash,CASH07
INV00003,CUST03503,2024-04-26 11:01:00,3285.82,Cash,CASH07
INV00004,CUST03865,2024-03-31 15:20:00,5474.7,Cash,CASH03
INV00005,CUST02029,2024-02-17 21:21:00,4486.71,UPI,CASH07
INV00006,CUST01715,2024-01-10 20:19:00,4255.61,Card,CASH04
INV00007,CUST01628,2024-05-10 11:47:00,1480.6,Card,CASH04
INV00008,CUST02635,2024-02-15 12:11:00,6081.59,Cash,CASH04
INV00009,CUST03051,2024-04-24 16:40:00,6455.98,Card,CASH05
INV00010,CUST02379,2024-01-05 13:44:00,4002.35,Cash,CASH01
INV00011,CUST03901,2024-06-23 10:51:00,1540.35,UPI,CASH04
INV00012,CUST00836,2024-05-24 19:01:00,984.55,Cash,CASH06
INV00013,CUST01287,2024-06-09 12:34:00,4512.49,Cash,CASH08
INV00014,CUST01080,2024-04-18 14:32:00,1649.2,Cash,CASH08
INV00015,CUST02115,2024-01-21 11:46:00,5091.57,UPI,CASH04
INV00016,CUST01337,2024-03-26 08:22:00,4043.3,Card,CASH07
INV00017,CUST03972,2024-03-11 19:59:00,3113.07,Cash,CASH01
INV00018,CUST02816,2024-02-02 16:10:00,695.42,Card,CASH04
INV00019,CUST03583,2024-05-07 09:45:00,5517.6,Card,CASH06
INV00020,CUST03976,2024-05-17 11:57:00,4762.63,Cash,CASH01
INV00021,CUST01717,2024-03-03 08:40:00,4372.86,Cash,CASH03
INV00022,CUST00881,2024-04-15 15:13:00,3514.71,Card,CASH04
INV00023,CUST00559,2024-04-15 21:10:00,2946.56,Cash,CASH07
INV00024,CUST01098,2024-03-09 17:30:00,6273.63,Cash,CASH02
INV00025,CUST01729,2024-05-30 19:12:00,3713.7,Card,CASH03
INV00026,CUST00699,2024-01-18 12:17:00,1757.32,UPI,CASH06
INV00027,CUST03458,2024-05-21 09:37:00,2768.47,Card,CASH02
INV00028,CUST02387,2024-04-15 11:47:00,59.68,Cash,CASH02
INV00029,CUST03761,2024-04-18 22:24:00,1774.77,Cash,CASH05
INV00030,CUST03561,2024-05-10 21:21:00,4615.94,Cash,CASH01
INV00031,CUST03279,2024-01-03 10:46:00,3116.14,UPI,CASH04
INV00032,CUST00800,2024-04-13 11:47:00,856.96,Cash,CASH02
INV00033,CUST03532,2024-03-03 20:17:00,287.26,Card,CASH06
INV00034,CUST03312,2024-02-28 21:36:00,5608.67,Card,CASH06
INV00035,CUST03817,2024-06-21 14:12:00,4188.2,Cash,CASH08
INV00036,CUST00342,2024-03-30 15:44:00,2664.21,Card,CASH03
INV00037,CUST03863,2024-03-31 08:13:00,4758.82,Cash,CASH08
INV00038,CUST03617,2024-05-14 20:15:00,2469.96,Cash,CASH02
INV00039,CUST00060,2024-02-18 16:52:00,6442.42,Cash,CASH06
INV00040,CUST01208,2024-01-11 15:18:00,5488.77,Cash,CASH05
INV00041,CUST03295,2024-05-13 10:32:00,681.37,Card,CASH08
INV00042,CUST03190,2024-02-23 09:21:00,5126.3,Cash,CASH02
INV00043,CUST00080,2024-02-25 16:14:00,4467.85,Card,CASH08
INV00044,CUST02416,2024-05-29 17:07:00,1121.59,UPI,CASH01
INV00045,CUST03573,2024-03-07 15:32:00,8894.34,Cash,CASH08
INV00046,CUST00193,2024-05-21 10:11:00,7071.21,UPI,CASH03
INV00047,CUST02196,2024-03-16 22:34:00,1034.31,Cash,CASH01
INV00048,CUST03565,2024-01-30 21:00:00,6625.25,Card,CASH08
INV00049,CUST03815,2024-04-15 22:32:00,278.92,UPI,CASH05
INV00050,CUST03501,2024-02-19 20:35:00,1424.22,Cash,CASH06
INV00051,CUST02662,2024-05-29 21:31:00,3812.96,UPI,CASH08
INV00052,CUST00508,2024-01-24 10:16:00,4150.94,Cash,CASH05
INV00053,CUST02922,2024-06-25 13:43:00,5298.5,Cash,CASH01
