ItemID,InvoiceID,BatchID,QuantitySold,PriceAtSale,LineTotal
ITM000001,INV00001,BAT04340,4,297.89,1191.56
ITM000002,INV00002,BAT04793,1,32.24,32.24
ITM000003,INV00002,BAT02802,2,277.52,555.04
ITM000004,INV00002,BAT03734,4,839.99,3359.96
ITM000005,INV00003,BAT02342,3,830.15,2490.45
ITM000006,INV00003,BAT05012,1,516.42,516.42
ITM000007,INV00003,BAT05949,1,278.95,278.95
ITM000008,INV00004,BAT04110,2,959.65,1919.3
ITM000009,INV00004,BAT05827,5,711.08,3555.4
ITM000010,INV00005,BAT03009,4,775.13,3100.52
ITM000011,INV00005,BAT04120,4,87.89,351.56
ITM000012,INV00005,BAT02377,1,1034.63,1034.63
ITM000013,INV00006,BAT03881,1,228.06,228.06
ITM000014,INV00006,BAT00002,5,805.51,4027.55
ITM000015,INV00007,BAT05038,4,370.15,1480.6
ITM000016,INV00008,BAT02393,1,970.73,970.73
ITM000017,INV00008,BAT05217,3,536.52,1609.56
ITM000018,INV00008,BAT01911,5,700.26,3501.3
ITM000019,INV00009,BAT05192,4,569.85,2279.4
ITM000020,INV00009,BAT03174,2,981.29,1962.58
ITM000021,INV00009,BAT02595,5,442.8,2214.0
ITM000022,INV00010,BAT01053,2,674.22,1348.44
ITM000023,INV00010,BAT00707,5,71.17,355.85
ITM000024,INV00010,BAT01988,3,766.02,2298.06
ITM000025,INV00011,BAT05039,5,106.99,534.95
ITM000026,INV00011,BAT01944,5,201.08,1005.4
ITM000027,INV00012,BAT05204,5,196.91,984.55
ITM000028,INV00013,BAT01163,3,46.13,138.39
ITM000029,INV00013,BAT05359,5,683.72,3418.6
ITM000030,INV00013,BAT02323,3,318.5,955.5
ITM000031,INV00014,BAT01851,5,329.84,1649.2
ITM000032,INV00015,BAT03659,1,900.17,900.17
ITM000033,INV00015,BAT04174,5,735.49,3677.45
ITM000034,INV00015,BAT02877,1,513.95,513.95
ITM000035,INV00016,BAT03003,4,534.46,2137.84
ITM000036,INV00016,BAT04424,2,952.73,1905.46
ITM000037,INV00017,BAT01431,4,96.0,384.0
ITM000038,INV00017,BAT03177,3,909.69,2729.07
ITM000039,INV00018,BAT05271,2,328.35,656.7
ITM000040,INV00018,BAT04994,1,38.72,38.72
ITM000041,INV00019,BAT00980,3,286.45,859.35
ITM000042,INV00019,BAT04160,5,679.06,3395.3
ITM000043,INV00019,BAT05547,5,252.59,1262.95
ITM000044,INV00020,BAT00207,1,823.4,823.4
ITM000045,INV00020,BAT03578,2,905.75,1811.5
ITM000046,INV00020,BAT00817,1,314.57,314.57
ITM000047,INV00020,BAT02626,2,906.58,1813.16
ITM000048,INV00021,BAT00562,1,46.14,46.14
ITM000049,INV00021,BAT01624,4,388.86,1555.44
ITM000050,INV00021,BAT03537,1,531.99,531.99
ITM000051,INV00021,BAT01013,3,746.43,2239.29
ITM000052,INV00022,BAT00211,4,663.83,2655.32
ITM000053,INV00022,BAT03768,3,192.45,577.35
ITM000054,INV00022,BAT03607,1,205.49,205.49
ITM000055,INV00022,BAT04155,1,76.55,76.55
ITM000056,INV00023,BAT01646,1,49.64,49.64
ITM000057,INV00023,BAT05998,4,724.23,2896.92
ITM000058,INV00024,BAT03673,4,655.67,2622.68
ITM000059,INV00024,BAT01800,3,539.77,1619.31
ITM000060,INV00024,BAT02928,1,769.12,769.12
ITM000061,INV00024,BAT01537,2,631.26,1262.52
ITM000062,INV00025,BAT00024,5,503.92,2519.6
ITM000063,INV00025,BAT04487,2,474.89,949.78
ITM000064,INV00025,BAT05700,2,122.16,244.32
ITM000065,INV00026,BAT02885,1,611.88,611.88
ITM000066,INV00026,BAT01096,4,286.36,1145.44
ITM000067,INV00027,BAT03051,4,508.6,2034.4
ITM000068,INV00027,BAT03367,3,244.69,734.07
ITM000069,INV00028,BAT00071,1,59.68,59.68
ITM000070,INV00029,BAT00633,3,591.59,1774.77
ITM000071,INV00030,BAT03403,5,263.88,1319.4
ITM000072,INV00030,BAT05705,3,270.25,810.75
ITM000073,INV00030,BAT03161,2,644.37,1288.74
ITM000074,INV00030,BAT00512,5,239.41,1197.05
ITM000075,INV00031,BAT03261,2,739.25,1478.5
ITM000076,INV00031,BAT03423,3,545.88,1637.64
ITM000077,INV00032,BAT04814,4,214.24,856.96
ITM000078,INV00033,BAT02162,1,287.26,287.26
ITM000079,INV00034,BAT05718,4,48.88,195.52
ITM000080,INV00034,BAT00358,4,885.48,3541.92
ITM000081,INV00034,BAT02167,2,656.9,1313.8
ITM000082,INV00034,BAT02994,3,185.81,557.43
ITM000083,INV00035,BAT04580,5,837.64,4188.2
ITM000084,INV00036,BAT03220,3,259.59,778.77
ITM000085,INV00036,BAT01878,1,313.45,313.45
ITM000086,INV00036,BAT04903,2,288.42,576.84
ITM000087,INV00036,BAT05235,5,199.03,995.15
ITM000088,INV00037,BAT04342,2,196.87,393.74
ITM000089,INV00037,BAT01313,4,1091.27,4365.08
ITM000090,INV00038,BAT00881,3,539.12,1617.36
ITM000091,INV00038,BAT03427,3,284.2,852.6
ITM000092,INV00039,BAT01840,3,112.84,338.52
ITM000093,INV00039,BAT04182,5,1024.88,5124.4
ITM000094,INV00039,BAT04584,2,489.75,979.5
ITM000095,INV00040,BAT01602,4,947.28,3789.12
ITM000096,INV00040,BAT00417,2,344.96,689.92
ITM000097,INV00040,BAT01967,1,85.54,85.54
ITM000098,INV00040,BAT04323,1,924.19,924.19
ITM000099,INV00041,BAT01117,1,681.37,681.37
ITM000100,INV00042,BAT04636,5,1025.26,5126.3
ITM000101,INV00043,BAT02199,5,372.51,1862.55
ITM000102,INV00043,BAT04395,5,521.06,2605.3
ITM000103,INV00044,BAT00745,3,207.65,622.95
ITM000104,INV00044,BAT04079,1,498.64,498.64
ITM000105,INV00045,BAT05195,4,912.62,3650.48
ITM000106,INV00045,BAT01922,3,395.25,1185.75
ITM000107,INV00045,BAT02324,2,439.93,879.86
ITM000108,INV00045,BAT03362,5,635.65,3178.25
ITM000109,INV00046,BAT02473,1,321.17,321.17
ITM000110,INV00046,BAT01720,2,662.43,1324.86
ITM000111,INV00046,BAT05702,4,827.67,3310.68
ITM000112,INV00046,BAT05257,5,422.9,2114.5
ITM000113,INV00047,BAT05145,3,344.77,1034.31
ITM000114,INV00048,BAT03713,2,294.8,589.6
ITM000115,INV00048,BAT04611,4,220.5,882.0
ITM000116,INV00048,BAT03802,5,1030.73,5153.65
ITM000117,INV00049,BAT00993,4,69.73,278.92
ITM000118,INV00050,BAT03870,3,474.74,1424.22
ITM000119,INV00051,BAT00620,4,953.24,3812.96
ITM000120,INV00052,BAT03364,2,121.15,242.3
ITM000121,INV00052,BAT03455,4,977.16,3908.64
ITM000122,INV00053,BAT02732,5,920.7,4603.5
ITM000123,INV00053,BAT03352,5,139.0,695.0
ITM000124,INV00054,BAT01660,4,956.72,3826.88
ITM000125,INV00054,BAT01414,3,916.11,2748.33
ITM000126,INV00054,BAT01318,1,213.04,213.04
ITM000127,INV00054,BAT05425,2,55.65,111.3
ITM000128,INV00055,BAT00526,3,294.32,882.96
ITM000129,INV00055,BAT02540,3,559.73,1679.19
ITM000130,INV00055,BAT00989,3,923.43,2770.29
ITM000131,INV00055,BAT03276,3,903.15,2709.45
ITM000132,INV00056,BAT04686,1,919.87,919.87
ITM000133,INV00056,BAT02080,4,1011.89,4047.56
ITM000134,INV00056,BAT03618,4,460.54,1842.16
ITM000135,INV00056,BAT04323,4,924.19,3696.76
ITM000136,INV00057,BAT05065,4,674.41,2697.64
ITM000137,INV00058,BAT00592,3,264.6,793.8
ITM000138,INV00058,BAT05279,4,825.54,3302.16
ITM000139,INV00058,BAT04427,5,154.48,772.4
ITM000140,INV00058,BAT01445,3,269.55,808.65
ITM000141,INV00059,BAT00429,1,278.72,278.72
ITM000142,INV00060,BAT01765,5,762.62,3813.1
ITM000143,INV00060,BAT05710,1,742.03,742.03
ITM000144,INV00060,BAT01059,5,108.15,540.75
ITM000145,INV00060,BAT04101,2,369.56,739.12
ITM000146,INV00061,BAT00206,4,871.36,3485.44
ITM000147,INV00061,BAT04129,4,306.9,1227.6
ITM000148,INV00061,BAT00606,1,1045.86,1045.86
ITM000149,INV00062,BAT05540,1,962.37,962.37
ITM000150,INV00062,BAT05929,1,868.74,868.74
ITM000151,INV00062,BAT04509,2,861.59,1723.18
ITM000152,INV00063,BAT01912,5,329.19,1645.95
ITM000153,INV00063,BAT04558,2,598.04,1196.08
ITM000154,INV00064,BAT00170,3,946.12,2838.36
ITM000155,INV00064,BAT01826,4,991.65,3966.6
ITM000156,INV00064,BAT05215,1,551.78,551.78
ITM000157,INV00064,BAT04229,3,138.58,415.74
ITM000158,INV00065,BAT02815,4,818.44,3273.76
ITM000159,INV00065,BAT01225,2,983.07,1966.14
ITM000160,INV00066,BAT03484,3,578.21,1734.63
ITM000161,INV00066,BAT04252,4,158.56,634.24
ITM000162,INV00066,BAT02025,3,648.75,1946.25
ITM000163,INV00067,BAT05518,2,742.05,1484.1
ITM000164,INV00067,BAT02303,5,567.65,2838.25
ITM000165,INV00067,BAT05503,2,761.21,1522.42
ITM000166,INV00068,BAT03717,3,504.38,1513.14
ITM000167,INV00068,BAT00836,2,472.49,944.98
ITM000168,INV00068,BAT04417,3,508.14,1524.42
ITM000169,INV00069,BAT03963,1,342.82,342.82
ITM000170,INV00070,BAT05532,1,513.72,513.72
ITM000171,INV00070,BAT04672,4,109.36,437.44
ITM000172,INV00070,BAT01885,1,163.86,163.86
ITM000173,INV00070,BAT05496,1,330.92,330.92
ITM000174,INV00071,BAT04339,2,981.61,1963.22
ITM000175,INV00071,BAT01060,2,849.41,1698.82
ITM000176,INV00071,BAT04211,2,667.26,1334.52
ITM000177,INV00072,BAT04857,2,415.93,831.86
ITM000178,INV00072,BAT02908,5,440.45,2202.25
ITM000179,INV00072,BAT03978,3,298.97,896.91
ITM000180,INV00073,BAT03626,1,270.66,270.66
ITM000181,INV00074,BAT01604,2,612.66,1225.32
ITM000182,INV00074,BAT05351,5,942.86,4714.3
ITM000183,INV00074,BAT03582,5,934.17,4670.85
ITM000184,INV00075,BAT04204,4,77.07,308.28
ITM000185,INV00076,BAT01672,3,338.43,1015.29
ITM000186,INV00077,BAT00458,4,436.35,1745.4
ITM000187,INV00077,BAT01822,1,380.23,380.23
ITM000188,INV00078,BAT04072,4,954.86,3819.44
ITM000189,INV00078,BAT03967,4,137.45,549.8
